,title,image,year,release_year,rating,runtime,plot,genres,score,Action,Adventure,Anime,Children,Comedy,Cult,Documentaries,Dramas,Fantasy,Horror,International,Reality,Romantic,Sci-Fi,Thrillers,media type
278,The Last Kids on Earth,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABW_Z-wckpUybFy6QkGp6lAa4mk1Teq6iMlqn-4ti5bZa1jv1CfkMhucyVTpEXKFz5zuOWfmGXQfP0rsQP1Kz3mv-xHhhBhiQ5TNsdn5x6Af40gPVQgAHURKFm3kx.jpg?r=b51,2019,2019,TV-Y7-FV,1 Season,"When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos.","['Children', 'Comedy']",6.8,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,tv
279,America's Book of Secrets,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABUq0jtdZBSHsbLRpCt7Nn-_Tuly7sxPRQpFk5etqbkwPlVLGRTnfuLdSBON0_EXtt-B80ReFFuEwEPQpfXgN8nkiGn4.jpg?r=049,2014,2014,TV-14,1 Season,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.",['Documentaries'],7.3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,tv
280,Bakugan: Battle Planet,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABXoE-hKjFF0pVb24D7-Uh3zDzQNaEfXEbPPK7j4x2bGPWE18ypiFVqBdjwA-nuf3F9HUo8Yso9W6F7_TJ6wTbpRsV3U.jpg?r=4c4,2018,2018,TV-PG,1 Season,Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.,"['Anime', 'Children']",6.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,tv
281,Cold Case Files,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABXR6Skxoyc3dCNWaVn3TRAtoW6wHBdpqR00OEKYdGejysRuULU-Sj7a_cXNvjLUi3VVjrsKT5KlqPe90tYAT6Ju5OE0.jpg?r=959,2017,2017,TV-14,1 Season,Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.,['Documentaries'],8.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,tv
282,Pawn Stars,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABcMEbBaJTpN9AEzoywRiVaA48HwbSRMz5ApgT54mJW4VgoESSrld-B-YlW0gFXQbRVPxbEkInjHmt8VMOTTC31UbmnQ.jpg?r=7c4,2010,2010,TV-PG,1 Season,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas.",['Reality'],7.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,tv
283,Surviving R. Kelly,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZGOnhknlNy98816wvMa56FXqFJm6USYlI2Qjr4XOktVs47USuJ3Q0wdF4_NCwpvWtX_9Coh57ypMhhkIDARThXoVR0.jpg?r=f07,2019,2019,TV-MA,1 Season,"In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse.",['Documentaries'],4.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,tv
284,The Curse of Oak Island,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABcIOJnhqZw1aZhb4661Bi8MVR9-P-wH55T2AF2jrclQBbt1THP9BULEc8wBQNctaJ3w_Dr4mzu4u2DKPDnm8egQlpso.jpg?r=1bc,2014,2014,TV-PG,1 Season,"On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure.",['Documentaries'],6.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,tv
285,The Rap Game,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABaOoPbBHO4uQJqTlaFx_y765W4Eel1EdSM7WTDF6pRhZudJ-biy26-xhYz6WpNENInL6xxcf0rqas9cAEVqHHZ20FKk.jpg?r=bc8,2016,2016,TV-14,1 Season,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.,['Reality'],5.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,tv
286,The Universe,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABddplK6Bb5RLbtba_TCgc3hRO5M4j5lQ8N7jME_2o0DjEHEw8aa2Zuc9lely3X28gpTxAK_EJW8wGCAmv20hwCaKGec.jpg?r=3ec,2009,2009,TV-PG,1 Season,"Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.","['Documentaries', 'Reality']",8.3,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,tv
287,I'm Sorry,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABSa0fZyQB_R0kWn9OJB28wwUJ4sEhoFB-QiEwZTwjgpAg5zuVB4JZdty2slqFOaBXiHUMSQ2ag4ZLGUTCYDYB7wmLvU.jpg?r=6cb,2019,2019,TV-MA,2 Seasons,"Life is a series of awkward situations for comedy writer and mom Andrea, thanks to plenty of neuroses and a knack for sticking her foot in her mouth.",['Comedy'],6.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,tv
288,Kabaneri of the Iron Fortress: The Battle of Unato,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABXl-31_FaZenyyRg_01jBQ5K7l_gKZOY84zs8wKa_m4kFguPJtXhuInHzcUw6mzeF0WeDcoXeWNx9hDfvvTZefw6pzuDeH2c4s-xi9MNk-Tbd_ZI53kzUGzTXDXo.jpg?r=153,2019,2019,TV-MA,1 Season,"Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde.","['Anime', 'International', 'Horror']",6.9,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,tv
289,Marianne,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABefKJDO9tqwllfxgijBcSI_uXtlKcEeqB9aM0mroQVbL5Hlb8sh2cUbnHU0KW4UJv-tKPebFJzVggIwLx-OUihmnQ4hmqI2fOLhM6sL86NMbCgi0xGP6AXRAEEDR.jpg?r=496,2019,2019,TV-MA,1 Season,"Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.","['International', 'Dramas', 'Horror']",6.5,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,tv
290,Monarca,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZnEj3ZCFDCkiLI3xfyDaQkx-heqgHaEIdEWxFnOJtVWXiDQbJndFZgsfFeTbbDQw_-0MSija4f3j7ZSd5JqunxJ1FW2qztJKlOWtHnzNP06ORMSYueduRsZ102z.jpg?r=a23,2019,2019,TV-MA,1 Season,"After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.","['International', 'International', 'Dramas']",7.2,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,tv
291,The Chef Show,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABeY76xW5NDxKYf83_kU2F8zu11lRHHLY4V8jE5BB7T-tGzbRpPYL4l1fSQRuWOkaK87GxaZPAM4D8HmGvp6zBeADa54RqTTZD0a7hsToV9dERpcZC8Ulr5nEQsV1.jpg?r=791,2019,2019,TV-MA,2 Seasons,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.",['Documentaries'],8.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,tv
292,The Ranch,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABcnvuorRuGpgyfzxnz--o7End12z0o2d5Uec3hOFeBs3L9pA0V3HHZdwJx3j67ub9YgwmcXAMvwqtOHyC-I10jcDcR_LFU7PmGX4IkF3nnXZZUbYgL6BqGiBG7yg.jpg?r=1bc,2019,2019,TV-MA,7 Seasons,"Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family.",['Comedy'],8.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,tv
