,title,image,year,release_year,rating,runtime,plot,genres,score,Action,Adventure,Anime,Children,Comedy,Cult,Documentaries,Dramas,Fantasy,Horror,International,Reality,Sci-Fi,Thrillers,Romantic,media type
3734,The Perfect Dictatorship,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABe-rXPKb7qlZRZlXQpbMdgNxkb8a4K56m3Rnznl3bqVCA1-syBwhRkjN-IB7QTW6AxZae_d9jrQmAbjidx5uOEAZ5BY.jpg?r=284,2014,2014,TV-MA,143 min,"After accepting a colossal bribe, a powerful TV conglomerate gins up fake news stories to enhance the image of a notoriously corrupt politician.","['Comedy', 'Dramas', 'International']",6.3,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,movie
3735,Hot Girls Wanted,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABfE_hZAG48DcpkYnflPFH_AGMjJp_uGljBz92kohMYMS0IJVJhtoDWsVlzIUOmrgaF8Nng5bW-i8R1Vo4GyI-V7MINfB66z-eIhxne172fiwtgrfEv2nkIE_VVOP.jpg?r=a2a,2015,2015,TV-MA,83 min,"This 2015 Sundance Film Festival breakout documentary from producer Rashida Jones spotlights the ""amateur"" porn industry and the women it exploits.",['Documentaries'],5.3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,movie
3736,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABWYIr97_BVcXLcIfVe05HF_wWhOyLaJYgTU93chYdK2X9d4WbkmwFW5rzN6lov8WrIgpb5NMwTLJjyHMEaAxDYn1lGh8ZnNTSqGaaFHwS8di--_SYp_iQzPZYOVO.jpg?r=2b5,2015,2015,TV-MA,78 min,"Jen Kirkman delivers some sharp, hilarious truths about divorce, kids, sex and turning 40 in this Netflix original comedy special.",['Comedy'],6.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
3737,The Other One: The Long Strange Trip of Bob Weir,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABXxS9O3MccHGG3DjreRfJsTXtZO4yzocrwxymaqSSXsmmTMzYmxAe6eJGFi7h5ZRajlyjoADH4nCbQ0sRSNmtKi76tsLpFEKUluCSZcB_g0Uv-YOmhU4bNYY_mk-.jpg?r=37f,2015,2015,TV-14,84 min,This chronicle of Bob Weir highlights his brotherhood with Jerry Garcia and his success as a member of one of the world's most influential bands.,"['Documentaries', 'Reality', 'Reality']",7.1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,movie
3738,Tinker Bell and the Legend of the NeverBeast,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABR0xr6_20DQscL24cCqgm9sUsMJUWeqsmtlh7SffOsc_CFGVdHmrxDHnb-Y2kiHFFOWNrJezJgAJXHmhVAbNDsB_aDA.jpg?r=b49,2014,2014,G,78 min,"When suspicious scout fairies scheme to capture the fearsome-looking NeverBeast, Tinker Bell and Fawn set out to save the wondrous creature.","['Children', 'Children']",6.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,movie
3739,Russell Madness,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYeJn99-kDAgDQaDK9BSmunaqR3k1OAST_aG4nLzmw-dsBnoKRHMjGQw9WoNanqKrawR7UtmLEBJxQ1xD4Qx3ZHd8fA.jpg?r=8fe,2015,2015,PG,93 min,"A spunky terrier named Russell with serious wrestling chops becomes a sports phenomenon with the help of his coach, a monkey named Hunk.","['Children', 'Children', 'Comedy', 'Reality']",3.9,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,movie
3740,Chris D'Elia: Incorrigible,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABSEOcNDaf4o_Hnx6KLeCyjmJePCBSIxKaNVwbki_dskygipjUrtNPjk6jlHESPZ2egGimdoIzNIX_M3gafe1uBaPRIvDMJR-Ihm9tOu3SWjiqf4XESNxneivyCEw.jpg?r=56c,2015,2015,TV-MA,84 min,Stand-up comedian Chris D'Elia covers everything from how to improve the NFL to why dating is evil and that babies should grow up before they're born.,['Comedy'],6.6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
3741,Marvel & ESPN Films Present: 1 of 1: Genesis,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABevUmtBzjom9IayBQP7qc5D8Vz0ovYU3cHBl-ylnrmyD2L-KfsFmrwfsPnutUbUSLYDgM12Io0bDwOfWtM9GnMikECU.jpg?r=e4a,2014,2014,TV-PG,77 min,"This documentary explores the connections between elite athletes and Marvel superheroes such as Spider Man, Black Widow and Captain America.","['Documentaries', 'Reality']",7.7,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,movie
3742,Aziz Ansari Live at Madison Square Garden,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVdGOINLFH5wvqxP47dTATDPDQoanvM9qSWyw3_X7FQFh4QAoAMYHVtI0jI_SRdZeIDki9GfcshSU2hSoUWraxZyV44MqSAFxQlzE2vKMM-gVwlqEFYzcVD6NvPc.jpg?r=3e4,2015,2015,TV-MA,58 min,"Stand-up comedian and TV star Aziz Ansari (""Parks and Recreation"") delivers his sharp-witted take on immigrants, relationships and the food industry.",['Comedy'],7.3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
3743,My Own Man,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYpzuDiaf5RgrgfZIRnNvYnC3qyviOyfAvpXCrtrXJfNKw-AYdlOIOqvaxB4qOkvaaP_yf3c_RyVdU3m5LjBgJc7Ed26JlqkDA-X1rzbwLXiROx-I7WYCmdJnAKq.jpg?r=cc8,2015,2015,TV-MA,82 min,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood.",['Documentaries'],7.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,movie
3744,Ralphie May: Unruly,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABa03Z5nVZs8SF2aEIwD7C-n35R8-huYnPVCxqBb6goFedNV6Mx4uT_uD5qUCtx2O_gQ0Ii930t4Rn84aT1Ufx4-mu93rVpn0xk07pYzO5X2ZPQRd0stioT7cfiLm.jpg?r=01b,2015,2015,TV-MA,83 min,"Filmed in front of a raucous crowd, comedian Ralphie May unleashes his hilariously raunchy perspective in his first Netflix original stand-up special.",['Comedy'],5.6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
